id,name,mail,telefono,usrdir,rol,password,fecha_creacion
33,Charo Agudo Ibarra,zuritaalba@example.com,+34825 333 737,"Urbanización de Tadeo Carlos 859 Puerta 5 , Huesca, 12833",editor,18abffdc5aaa7c45369151bf6b1a64798021364b626ceb8b85baec8c62cac6af,2023-09-21
34,Elpidio Arias Company,cebrian73@example.net,+34 820 150 112,"Glorieta de Victoriano Baena 66 Puerta 0 , Ceuta, 31939",editor,29e2fe424cc9059b2d46c7ee437d8172f54a79b531e630d95972e3d284273582,2024-12-02
35,Aránzazu Maza Rosado,bonifaciomoliner@example.com,+34946013096,"Paseo Lilia Marquez 639 Puerta 4 , Madrid, 05844",editor,058842eb432aa830070c866548931fae4a6e9824a1adadd63ba60323ac852173,2024-03-26
36,Ulises del Pareja,benignatejera@example.net,+34944 41 01 70,"Avenida de Angelita Perea 83 Apt. 30 , Jaén, 51257",editor,f6c2e68102ba8e910defacf495254930b303f2d048d3ad0da85b9958a15098a4,2025-01-03
37,Jovita Carreño-Sancho,oserna@example.net,+34 926 340 532,"Cañada de Renato Pacheco 36, Cantabria, 11168",cliente,f7df66390eecd10122fef687a474c4f2b9502adfe487608f34f79ccb0c4057cc,2024-12-29
38,Heraclio Torrens Leal,currorincon@example.org,+34973 482 931,"Alameda de Celestino Agudo 42, Badajoz, 09979",cliente,e73da41b70997ab9041a6d600dc5af85e34bea059000de0d51b00d3bff1b1064,2023-05-16
39,Azucena Cardona Jiménez,miguel08@example.com,+34708834278,"Pasaje Cruz Porta 640 Apt. 77 , Asturias, 08211",admin,7f89b4952fdec8b76d660872f943baf1e2a921226c0f51e852e5cb154a686ec5,2024-07-11
40,Heraclio de Ferrero,lorenzofabio@example.org,+34 807 17 41 68,"Pasadizo Yésica Roldán 5 Apt. 62 , León, 27428",editor,75187afb22a5f7864f872bd022283b09f2dd838dfaa5b52a2f3e164dd7c46aa7,2024-08-17
41,José Manuel Cabrero,quiquepeiro@example.com,+34 978 979 750,"Glorieta Pelayo Ibarra 18, León, 27720",editor,54c22ba6dab13d69bd5a80075b52513f77fc6e4446038b8529f24bfa47c9bf32,2023-10-28
42,Antonio Franco Muro,anabaeza@example.net,+34 972557918,"Glorieta Natalio Yuste 42 Piso 3 , Segovia, 29176",cliente,0fb6edd59d0927203b2918dc27ce8d48add02a69c31fac392697b753fc125dfb,2023-06-09
43,Agustina Aguilera Arteaga,calixto12@example.org,+34 982 31 28 28,"Pasaje de Corona Hervia 62 Apt. 52 , Girona, 40289",admin,2eee03589b0afc5e65f4e6a081aa9c54d403fb8b2e732f446121f5f1f77e4697,2023-07-26
44,Dionisia Mariño Tena,lmontoya@example.com,+34 803025732,"Urbanización de Luciano Vendrell 82, Barcelona, 49488",admin,821fde949e609e9623f1fae82592b013c0ee8b5b7533aea3086be5906a88274f,2024-04-28
45,Roxana Sola Castrillo,yolandaolmo@example.com,+34888 85 84 75,"Acceso Florentina Mosquera 7, Huesca, 19448",editor,c781693975404a581b73dcff07b86017c12adf8bddba96a7f5ee57c8788cd329,2024-04-20
46,Custodia del Conde,nydia02@example.org,+34926613921,"Calle de Tristán Landa 48 Piso 7 , Soria, 07997",cliente,6016adf5976805fff505343faf4e6f61e821b9a5261591b4815748c30420dbb7,2023-07-19
47,Heraclio Sevillano,cordobanando@example.com,+34978895805,"Plaza de Felicia Ochoa 247 Puerta 7 , Guipúzcoa, 38385",editor,dca8f81e45a35689c951c44c30f35e0d27cc682fae73d8ce1eb6fec9b8599095,2023-11-11
48,Herminio Español Adadia,rebecaexposito@example.net,+34945 88 80 73,"Paseo de Sebastian Juan 51, Guadalajara, 05315",editor,c761ce4055d4acc6a8b14e49589f3ce81ab67c82ff3502dd14230a6ce4014fa6,2023-10-12
49,Arcelia Lara Garmendia,somozamaximiliano@example.org,+34876 749 928,"Camino Mariana Bustos 7 Piso 8 , La Rioja, 27104",admin,125044a7ac251c8b2be5b65b84f06d2bfaa38965f0748f0a22382573fa376cce,2024-05-06
50,Juan Carlos de Tejera,belencarrion@example.org,+34827 798 538,"Acceso de Jessica Bru 94 Puerta 1 , Granada, 01627",admin,b946b6f5159ba68e692feb364f5af3778376f88bc437a5e8a6d3edfda6ab0365,2024-08-09
51,Anita Alcázar Pozo,sara00@example.net,+34845835307,"Urbanización Gabriela Solé 27, Salamanca, 35848",editor,cb23453e60b12e52c986d84c635e8589f289e36b0d41bb796e53919149ab50f2,2023-11-27
52,Concha Arévalo Macías,calixta90@example.net,+34884 97 53 02,"Vial de Trinidad Costa 4, Murcia, 12961",cliente,2d546a4086737f4a71b398ff62f8000758c6717774ba090ca93b2b6aa8143711,2024-09-10
53,Dominga Amador Capdevila,amilcar96@example.com,+34 820 545 545,"Cuesta de Melchor Porras 8, Cáceres, 11352",cliente,aeda1e1ced9062003527d4fa7797a2adde6f3af1b3b8ddfbe77430235899d49a,2024-02-17
54,Josefa Gallego Aguiló,rafael95@example.net,+34 924 847 618,"Pasaje Víctor Guardia 77, Baleares, 27744",editor,11d3b23af5514e0d9b6040501905e40d49ca303498e7ade2268a95adf17430f2,2025-02-23
55,Gilberto del Reig,cleto79@example.org,+34 925473655,"Rambla Vera Valcárcel 8 Piso 2 , Cáceres, 14846",cliente,46bdcd0ecfc34aadaf3e0db6048180bdf02e02ec05d33774ef0481d4edefe8ca,2025-04-18
56,Berto José Luis Diez Riquelme,leirejodar@example.org,+34 954089480,"Avenida Florentina Uribe 86, Granada, 20943",editor,8f58f2a08d116e330f6903868edfba997a52e0d6f848b3d3dd0aa7ba05ccfae3,2024-11-05
57,Rufino Bernad,wleal@example.net,+34817 52 30 31,"Vial de Camilo Galindo 477 Apt. 48 , Málaga, 07360",editor,bceb5020b3d5c6e64d7d286cdf80d057895cfacb0e12fe05964a638aa3fff2af,2025-02-26
58,Félix Gelabert Collado,rvalcarcel@example.org,+34879 61 16 49,"Calle Venceslás Salinas 13, Guipúzcoa, 50856",admin,7b0d11eb2fb556863f878ac964a186b02ad72a29895e5b3c626faca88bbb4ada,2023-08-26
59,Régulo Jose Manuel Hurtado Fuente,fabio86@example.com,+34921 087 620,"Acceso de Juan José Atienza 95 Apt. 38 , León, 27195",cliente,fe600ea731b39233a4e4417640241af545aa47fad216d570bfa5a3e17e037280,2024-05-13
60,Jonatan Agudo-Villanueva,tlobo@example.org,+34979747629,"Camino Jacinto Miranda 77 Piso 5 , Jaén, 41528",editor,28d8c320192837a0db9a785cb688135d08eb67f236120f65ccf25adbe62ddf5e,2023-06-16
61,Quique Espada Niño,mar39@example.org,+34 824 86 66 12,"C. Leyre Núñez 66, Cádiz, 23056",admin,debd152845836377eb2a6b5a604daa3dc2d8b7e427d5c6215f4968dd4afbab8f,2024-05-17
62,Germán Alfaro,linapelaez@example.org,+34987 610 240,"Camino de Primitivo Zaragoza 24 Puerta 5 , Zamora, 19630",admin,7ad9307589b915de4f51e857b4437bc434188d09f78d542e9f9a55082f668350,2023-07-19
63,Eustaquio Zapata,marcia49@example.net,+34 912 577 467,"Calle de Conrado Morera 60 Puerta 1 , Huelva, 13013",admin,de07bb2c35d3d38f402c7ab982aadf7dce3ef458f51437f8510012001918e5ec,2024-04-25
64,Eloísa Anita Sevilla Álamo,cobosaroa@example.org,+34 887685757,"Pasaje Fermín Calderon 939 Puerta 2 , Guadalajara, 51169",editor,c61b6bf728c5c1f3fde314e433f23679c5ce9aa45ca83b2b8da89c7a5a2613db,2023-05-27
65,Miguel del Peláez,virgilioquero@example.org,+34876895458,"Plaza de Geraldo Calvet 156, Zaragoza, 34955",admin,9a6d0c77fade69845dd247820f673f42e8ed4e1657926bbf39921b3ebb5e9d91,2023-07-03
66,Emiliano Carrillo Álamo,urrutiatiburcio@example.com,+34920 314 064,"Glorieta de Jordana Barreda 80 Apt. 63 , Navarra, 10024",editor,441526e569403ec88348b5d710631ebf98e0d367a519a8001c8633102cfa1cc3,2024-07-20
67,Patricia Villa Castelló,deliaescolano@example.com,+34 923 638 732,"Avenida de Soraya Bertrán 545 Puerta 1 , Cuenca, 49120",cliente,ecd70c2f3cf8fa149a01115ee51d9b3f7c0f74fd981ee449eed4f1139d373952,2023-05-28
68,Herberto Matas Rodrigo,falconjulio-cesar@example.com,+34 876180560,"C. Eusebio Guardia 62 Puerta 5 , Valladolid, 35342",cliente,182c7febef3556b7a6cf9c507921293bf9afec1c6e479a94b597fb5495e98236,2023-09-24
69,Narciso de Olmo,marcia05@example.net,+34 835170345,"Pasadizo de Geraldo Machado 73, Granada, 49514",editor,13634ec00d00620ab629589e7185ac19edc90c95027fba0e29e05f6525ef52b5,2024-02-07
70,Adelardo Marqués Folch,vargasanibal@example.com,+34 843 50 44 08,"Via de Bonifacio Silva 390, Cádiz, 01333",cliente,f21d9971df9aa4e48c7ba406314063a437d1af967830f71200929394fa8a0ffb,2023-08-23
71,Maximiliano Nicolás Galindo,edmundo27@example.com,+34878 42 58 88,"Cuesta Serafina Álvaro 6 Puerta 9 , Badajoz, 31718",admin,b2c85f2d493608e9f2397e1d9c7ca38f1f4b9fa0eb1ac90038916c22f8dfa945,2024-03-17
72,Ramiro Iglesias Vicens,perezjose-luis@example.com,+34945 341 961,"Plaza de Ignacia Carretero 99, Ourense, 35489",editor,62559ea87a42a4da7547e2af062ce43357c5e13e82b82fa79c9e7a1a7b525c5d,2023-07-27
73,Baudelio Casado-Corominas,reinaldocabrera@example.net,+34875 52 72 04,"Calle de Gabino Gomis 8, Vizcaya, 02637",admin,3eb0f1a45130145fef4678fb113731d4675ad6d6b39c31c5ece2f0c5c9cd924e,2023-09-06
74,Mariana Quirós-Pintor,domingafuertes@example.org,+34 875952455,"Paseo Andrés Felipe Boada 38 Piso 3 , Guadalajara, 51342",editor,959377d0f77a69888b8a0074b327214ea035f2fa49797c547832ccdaaf034cb8,2024-10-17
75,María Dolores Cámara,gonzalezpepito@example.org,+34946 88 95 74,"Pasadizo de Samanta Nicolás 170 Puerta 9 , Pontevedra, 15958",admin,e0d5e651f12571ef3b687414da8dde6f2affaf5b24d02b4fa0f0a8a227e10fca,2024-06-12
76,África Robles Alberola,ursulaprieto@example.net,+34 946 848 355,"Acceso de Fabián Tormo 95 Apt. 98 , Zamora, 12482",admin,eacb58422d1a0b214d41ccdc548461976368337fc29df31aca23a4a869e551dc,2024-01-23
77,Jose Francisco Estevez Mateos,qcastilla@example.org,+34 705508464,"C. de Guadalupe Calderon 74, Navarra, 42237",cliente,85cf72d6c2bbd1238a398e79561a61acc0b1f945c4e9093bdc0d1690f7e634d9,2024-01-15
78,Yago Garrido Rosales,eugeniauribe@example.net,+34986001721,"Camino Melisa Juárez 7 Puerta 6 , Salamanca, 42899",admin,c37c4c2fb591143fe0f3423335b79ded276746edecc8f9d81a23de8f503d833d,2023-10-01
79,Lucía Lledó Pera,elbajerez@example.org,+34932 57 45 30,"Plaza Salvador Espada 11, Almería, 33123",cliente,93365b2de9c65bdf86c677c1286eb0ed5192b4cc79b2340d36ad610905db8aa6,2024-03-06
80,Adán del Canales,melendeznerea@example.net,+34 944 26 90 73,"Alameda Encarna Vázquez 27 Apt. 03 , Huelva, 07988",admin,c55ad3f8fc7327b8dc7999ead610f868fad1b7473d0104c2a32bf05504ad75f0,2025-03-20
81,Luz Lucía Pellicer Padilla,mascarocorona@example.net,+34 873 99 36 01,"Acceso de Tiburcio Mas 24 Puerta 3 , La Rioja, 49151",cliente,e49346855fc87c095193e6e24746e9655bc25858388dcd3c1dbb332b02709d07,2023-06-22
82,Chema Morante Díaz,gabriel79@example.org,+34915528919,"Camino Américo Arenas 521, Cantabria, 28992",admin,3e9492815bac578b07b14a9a80628880253aa99f84ca6be3dce57274d598076c,2024-10-07
83,Ibán Pavón Marí,sbenitez@example.org,+34806773355,"Glorieta de Lorena Herrero 38 Puerta 4 , Murcia, 08401",admin,78311b237dec2c230c44626e442f612e9ec175cc6b75795067bf781762d18eae,2024-12-20
84,Mireia Morán Barbero,abermudez@example.org,+34945639618,"Ronda de Maristela Vilaplana 67 Puerta 0 , Zamora, 01009",editor,888b40330e9c28f161e48cc80798bc4964aa9b3acfe3e3ae1f24083852fa29c6,2024-01-10
85,Magdalena Ariño Montalbán,ferrandizsaturnino@example.net,+34 985 843 075,"Pasadizo Eutimio Rivero 70, Teruel, 14372",editor,2c61c1f5bcf6842f1c2dbe41452e917626d8499e445eb43fa38915fcd0f184bd,2023-09-13
86,Hernán Plana Álvaro,montserrat10@example.org,+34 709 70 97 52,"C. de Samanta Leiva 47 Apt. 81 , Palencia, 46666",cliente,81fc5fb7944b43cb5e5a91cf2c6666ab3c5ad32cb7b018f9f551fda3b9adce2b,2023-10-23
87,Esther Piñeiro Caballero,amilcar84@example.net,+34900 56 61 64,"Acceso de Vito Blanes 9 Piso 2 , Segovia, 10668",admin,44f8a8f943a50054bf67c533a5779926b294c160b8becb6a404d66446d4a1a73,2023-11-13
88,Susanita de Molina,gizquierdo@example.net,+34 986 395 238,"Callejón de Custodia Galan 43, Málaga, 08293",cliente,0acdcc9a7f55e1f84862b9fb184d8bbcfb7c40c8c7f58ad0a8cd6e6f3adf88e9,2023-06-28
89,Azahar Artigas Yáñez,qarmengol@example.net,+34 950246704,"Vial de Elías Gordillo 74, La Rioja, 43723",cliente,55ada5d230fbf49c68ee44bb71a15e91901b9a8cfd6592902123f831a3c59850,2023-10-30
90,Chema Páez-Cerdá,canasmaximiliano@example.com,+34948 825 086,"Avenida Teobaldo Sanz 80 Piso 5 , Granada, 08352",admin,2046a8d2ff911fff20cc2f05153aed2de61c6a4c39455cc012c84ff9db24ffa8,2024-04-07
91,Jenaro Frías Márquez,jribes@example.net,+34 930611819,"Pasadizo Celso Carlos 746, Baleares, 04677",admin,30124fcf04fb8aaa1fedd23a94e2a8df01a76c5c29501e068fe7b335f4b647aa,2024-09-18
92,Gustavo Heraclio Almeida Domínguez,leire83@example.com,+34927 890 588,"Avenida Hortensia Cervantes 6, Álava, 51753",editor,17c944d0c7da7c5c76f10fc3f7df865f650586b30b1cf894ce78d88946d418de,2024-03-04
93,Chus Juárez Tena,sluz@example.net,+34 742640956,"Acceso Casandra España 74 Piso 5 , Santa Cruz de Tenerife, 08993",editor,bf0a1c2bbb079847c38ffca40178e2e7b45d8bdbba9ce469178ac0510822e17b,2023-06-07
94,Edgardo Guardiola Corbacho,emiliana10@example.org,+34986 143 730,"Avenida de Flavia Velázquez 10, Lugo, 09959",cliente,4f734c4027b6bb13e9ca6ba450ce3c38e36c806f91017c6d989bbba6cafcd2d0,2024-01-30
95,Adoración Rivas Mir,martinjose-luis@example.net,+34 800 53 78 52,"Callejón Sonia Guitart 64, Barcelona, 19151",cliente,c1c45de6ca6c9d075ddae9bd121879daa699056efc617410bbf72e3b6612d425,2024-11-13
96,Saturnino Dávila,ramon34@example.org,+34876365332,"Vial de Asunción Cerro 3 Apt. 39 , León, 27384",admin,59d66fba41c9d7ea9c34507067e389a4fe92dd5c9d6914bbb866d78d749a1bf9,2024-09-19
97,Inmaculada Ani Pallarès Gutiérrez,alcolealorenzo@example.net,+34986056200,"Camino Heriberto Santana 150 Puerta 4 , Zamora, 40409",editor,d7f2cff5d8a9f056594721aa1e74834f5e7233efb3b8c514ec05bd8de462abf3,2024-02-14
98,Maximiliano Río Hervás,candelaria99@example.net,+34988488816,"Avenida de Laura Prieto 4, Salamanca, 06316",admin,c609bdf8eb6596d0758230a0c35589ca915c65170eabaea1aec51f552bf0a157,2023-07-28
99,Adelia Lago,jose-maria09@example.net,+34872 841 596,"C. Lourdes Godoy 99 Puerta 4 , Salamanca, 50785",cliente,15d8d3743befdb6e06a1a8e8a1edd54dfb17bbc3771479011fa0b4f6ec06cdb5,2025-03-23
100,Jenaro Revilla,tbatalla@example.org,+34883 775 245,"Pasadizo Quique Isern 52 Puerta 8 , Alicante, 06090",cliente,665abb1103021dd510c9afd2d353a242568825b235b31113ef0ddc7a2277eec8,2025-04-12
101,Marcial Franch Sedano,pagesnarcisa@example.com,+34803253611,"Avenida de Berta Llano 1 Puerta 9 , Las Palmas, 29276",editor,dfcbcfac2098807468f249ae8c1eb885821fc7a959190c1fc57eb5741dfdaa2c,2023-05-15
102,Bonifacio Armas Boada,belencastaneda@example.com,+34 975 525 864,"Camino Griselda Prat 528, Las Palmas, 38684",admin,fc5246b5063b0c720c19bca9ebdb18b1b629900690e6146d32f393507ed71dc0,2024-04-28
103,Bernarda Graciela Daza Núñez,sobrinonorberto@example.org,+34820860998,"Cañada de Olegario Molins 19, Alicante, 33464",admin,f198746e429c4e03852ce16a96574a869f361da3816158773c3835e0b52f0ff1,2024-01-30
104,Ángela Teófila Ferrández Abella,pmoles@example.org,+34871 48 97 81,"Pasaje Victorino Piñeiro 1, Zamora, 38461",editor,c0ac214fee3242ac8a9a65dcac0c26a3ab9100804a40c7826fdc08cc7130c1c1,2023-07-01
105,Albert Antúnez Hervás,vlumbreras@example.net,+34730 119 742,"Ronda Trinidad Salazar 75, Madrid, 13168",admin,d0bb28149756622c10b4cd7913657875a82454c6b40df34ad8cd2f9da180757d,2025-02-03
106,Jorge Murcia-Herrera,arandajuan-carlos@example.net,+34 985565208,"Plaza Severino Riquelme 780, Ourense, 21109",admin,1bb15212db119c3e42c7bc8e2c4848209a6391289bfc5c7349945f36b856d85a,2023-08-07
107,Bernardino Ibarra Azcona,vanesa38@example.net,+34984 24 70 78,"Callejón de Nazaret Paredes 29 Apt. 72 , Huelva, 27462",cliente,ad6809333555754c30a7ba5797821c9eed099b06f7df98c0a3ec56329d85a626,2024-02-01
108,Lupe Sosa,timoteo69@example.net,+34875 982 355,"Pasadizo de Cristian Aguado 19, Albacete, 44790",cliente,020c00c9bab91f0843cbfc110e5d5e059ebb781f0053063968c36245314ae4cd,2025-04-24
109,Arturo Rivera,ignaciaparedes@example.net,+34820 663 962,"Glorieta Óscar Gallo 54 Piso 8 , Girona, 20117",admin,de948f18b3ffe0989de547677925207cb85f62dcdb3d13ea8ce4c31aabe3daa9,2024-10-13
110,Pascuala Borrell Guerrero,eriquelme@example.org,+34977 278 957,"Acceso de Guadalupe Llorente 57, Navarra, 11531",cliente,1fa41fb40aa929b13acea1c7e0fb4ff0d40d68efe7de1ba8154250e0522c4c77,2024-11-25
111,Rosario Valderrama Buendía,ucueto@example.net,+34 844 925 842,"C. Pancho Orozco 74, Palencia, 16699",cliente,9b5248c1aa4395af1d8ceff3dcb865cb4265f5416f1546aee34a35edb9a98e2f,2025-02-01
112,Armida Bello Acosta,lbarros@example.org,+34941 18 31 74,"Alameda Benito Plaza 5 Apt. 13 , Baleares, 01269",editor,b2b8a4bee3a143035a5c96f22e5a36ab558b33b176ccac5f09980ec3c1a8e972,2024-11-30
113,Brunilda Nazaret Antúnez Salamanca,nico26@example.org,+34 980485217,"Cañada de Otilia Cifuentes 88, Huelva, 17777",admin,16584b1cea4071a0afa57805aae8e38f9c93c39e912b9608a00b086c260cf757,2023-10-16
114,Viviana Rodriguez Monreal,quintanillasoraya@example.com,+34 947387143,"Urbanización de Pablo Soler 422, León, 48960",editor,6e00181b3ae7165fa8080db789414bf88231c145c19aa432940ede60ddac6b11,2024-01-19
115,Ruperto Duarte Ayuso,sebastian83@example.com,+34947529522,"Urbanización Anastasio Espinosa 24, León, 06998",admin,a8f7228b23121fdda71bb9422d56a27c62c4c4803bb221ca14036701b5f7d5a9,2024-06-03
116,Eutimio Alonso Águila,benignotormo@example.org,+34 974 61 58 30,"Pasaje de Edelmira Gargallo 1 Puerta 1 , Salamanca, 07901",cliente,547f5ff72b2dc978cc3318d57685933f67a473c26bebab3484af9849723365f7,2024-03-08
117,Flora Gallart Padilla,primitivamarti@example.com,+34878 78 53 15,"Ronda de Sabas Carreras 79 Puerta 6 , La Rioja, 16998",cliente,50a3f23ae5ce76175ac2e3c9b41e90d58b32fe8b9dbdec48e0c2a49dec770883,2025-04-22
118,Joel del Pacheco,feliciana35@example.com,+34875229616,"Pasadizo de Malena Cruz 5, Santa Cruz de Tenerife, 11188",cliente,3462dc931b805689aae16c1eae516cf1347929c4a7a30b1659f20ccd97748342,2024-06-12
119,Fernando Diego Ponce Bermudez,gcasanova@example.org,+34822 075 672,"Paseo Adoración Jove 34, Zaragoza, 16694",cliente,e066dc8d57485ce62f2c57e549243e45a89e28bce2e952067df4530faff54525,2025-04-02
